GeneName,Trait,GeneSymbol
Zm00001d001765,65: veg/ExR/MGRVI/RGBVI/NDI/ExG/ExGR/GLI/GRVI/gn; 73: ExG/GLI/gn/RGBVI/veg; 94: GLI/ExG/veg/gn,Zm00001d001765
Zm00001d001767,44: RGBVI/ExG/veg/gn/GLI; 51: veg/GLI/gn/ExG/RGBVI; 73: CIVE/COM/GreenCoverage; 88: CIVE/COM/GreenCoverage,mab10
Zm00001d001769,101: RGB_R; 108: RGB_R; 115: RGB_R,pub4
Zm00001d001770,10: RGB_R; 73: RGB_R/ints,-
Zm00001d001780,65: RGB_R/ints; 73: ExG/GLI/gn/RGBVI/veg,bsk5
Zm00001d001781,101: GreenCoverage/RGBVI; 51: GLI/gn/ExG/RGBVI; 73: CIVE/RGBVI/COM/GreenCoverage; 80: ExGR/veg/NDI/RGBVI/ExG/ExR/GLI/gn/GRVI/MGRVI; 94: RGBVI,-
Zm00001d001785,73: ExG/GLI/gn/RGBVI,mctp1
Zm00001d001786,65: veg/RGBVI/ExG/ExGR/GLI/gn; 73: CIVE/ExG/GLI/gn/RGBVI/COM/veg/GreenCoverage; 80: CIVE/GreenCoverage/COM; 88: RGBVI; 94: GLI/ExG/RGBVI/gn,-
Zm00001d001787,65: veg/ExR/MGRVI/RGBVI/NDI/ExG/ExGR/GLI/GRVI/gn; 73: CIVE/ExG/GLI/gn/RGBVI/COM/veg/GreenCoverage; 80: RGBVI; 94: RGBVI,pco079129b
Zm00001d001788,108: IKAW; 65: RGBVI/ExG/GLI/gn; 73: ExG/GLI/gn/RGBVI; 80: GreenCoverage,kea4
Zm00001d001789,101: RGB_R; 80: CIVE/GreenCoverage/COM; 88: CIVE/COM/GreenCoverage,pmm1
Zm00001d001790,65: RGBVI/ExG/GLI/gn,atg4a
Zm00001d001791,101: RGBVI; 80: ExGR/veg/NDI/GRVI/MGRVI,pdcb7
Zm00001d001793,24: IKAW; 65: IKAW,-
Zm00001d001797,51: CIVE/COM/GreenCoverage; 65: veg/ExR/MGRVI/RGBVI/NDI/ExG/ExGR/GLI/GRVI/gn; 73: CIVE/ExG/GLI/gn/RGBVI/COM/ExGR/veg/GreenCoverage; 80: CIVE/ExGR/veg/GreenCoverage/COM/NDI/RGBVI/ExG/GLI/gn/GRVI/MGRVI; 88: gn/RGBVI/ExG/veg/ExGR/GLI; 94: GLI/ExG/RGBVI/veg/gn,mis12b
Zm00001d001798,73: RGBVI,acb3
Zm00001d001803,44: CIVE/RGBVI/ExG/NDI/ExR/veg/MGRVI/GLI2/GRVI/COM/ExGR/gn/GLI/GreenCoverage; 51: ExGR/veg/GLI/gn/ExG/ExR/RGBVI; 73: CIVE/ExG/GLI/gn/RGBVI/COM/GreenCoverage; 80: CIVE/ExGR/veg/GreenCoverage/COM/NDI/RGBVI/ExG/ExR/GLI/gn/GRVI/MGRVI; 94: GLI/ExG/RGBVI/gn,smk10
Zm00001d001804,101: ExGR; 12: RGBVI; 24: IKAW; 51: IKAW,mlo9
Zm00001d001808,80: ExGR/NDI/ExR/GRVI/MGRVI; 88: ExR/GRVI/ExGR/MGRVI/NDI,pco061701
Zm00001d001809,65: veg/ExR/RGBVI/GreenCoverage/ExG/ExGR/GLI/gn; 73: ExG/GLI/gn/RGBVI/veg; 80: ExGR/veg,-
Zm00001d001813,65: veg/RGBVI/ExG/ExGR/GLI/gn; 73: ExG/GLI/gn/RGBVI/veg; 80: ExGR/veg/RGBVI/ExG/GLI/gn; 88: ExGR; 94: GLI/ExG/RGBVI/veg/gn,npi239
Zm00001d001831,65: veg/ExR/MGRVI/RGBVI/RGB_R/ints/NDI/ExG/ExGR/GLI/GRVI/gn,IDP8468
Zm00001d001836,73: ExG/gn,-
Zm00001d001838,108: CIVE/COM/GreenCoverage; 26: IKAW/rn,abi3
Zm00001d001839,73: ExG/GLI/gn/veg; 80: ExGR/veg/NDI/ExR/GLI/GRVI/MGRVI; 88: ints; 94: ints,-
Zm00001d001855,51: veg/GLI/gn/ExG/RGBVI,pat6
Zm00001d001856,12: CIVE/gn/ExG/GLI/COM; 19: GRVI/MGRVI/NDI/ExGR/ExR; 65: RGB_R/ints,-
Zm00001d001857,73: NDI/rn/GRVI/MGRVI/ExR/GLI2,Zm00001d001857
Zm00001d001859,65: RGB_R/ints; 73: RGB_R/ints,-
Zm00001d001866,44: RGBVI/ExG/gn/GLI; 73: ExG/GLI/gn/ExGR/veg; 80: ExGR/GLI2/veg/NDI/ExR/GRVI/MGRVI; 88: ExR/gn/RGBVI/GRVI/ExG/veg/ExGR/GLI/MGRVI/NDI,-
Zm00001d001868,65: veg/ExR/MGRVI/NDI/ExGR/GRVI; 73: ExG/GLI/gn/ExGR/veg; 80: ExGR/veg/NDI/ExR/GRVI/MGRVI; 88: ExR/gn/RGBVI/GRVI/ExG/veg/ExGR/GLI/MGRVI/NDI; 94: GLI/ExG/RGBVI/veg/gn,-
Zm00001d001870,73: ExGR/veg; 80: ExGR/NDI/ExR/GRVI/MGRVI; 88: ExR/GRVI/ExGR/MGRVI/NDI,-
Zm00001d001877,101: RGBVI; 80: ExGR/NDI/ExR/GRVI/MGRVI,Zm00001d001877
Zm00001d001882,37: ints,-
Zm00001d001894,80: NDI/ExR/GRVI/MGRVI,thx35
Zm00001d001903,10: veg; 115: RGB_R; 14: MGRVI/ExGR/GRVI/veg/ExR/NDI; 17: MGRVI/ExR/GLI2/NDI/GRVI/ExGR; 19: GLI2/rn/IKAW,-
Zm00001d001908,65: ExR/GLI2/rn; 73: NDI/rn/GRVI/MGRVI/ExGR/ExR/GLI2,ptox2
Zm00001d001935,12: RGB_R; 17: CIVE/veg/GLI/gn/COM/RGBVI/ExG; 19: CIVE/RGBVI/ExG/GLI/gn/veg/ExGR/COM,-
Zm00001d001936,88: ints/RGB_R,glk16
Zm00001d001939,108: gn/GLI/veg/ExG; 44: NDI/ExR/MGRVI/GRVI/ExGR; 51: CIVE/rn/ExGR/NDI/MGRVI/COM/ExR/GreenCoverage/GLI2/GRVI; 65: IKAW; 88: IKAW,cl421_1
Zm00001d001973,101: GLI2,IDP3987
Zm00001d001978,14: CIVE/RGBVI/GLI/ExG/gn/COM; 15: CIVE/gn/GLI/RGBVI/COM/ExG,mkkk14
Zm00001d001988,115: IKAW/rn,prh16
Zm00001d002006,115: RGB_R,mha2
Zm00001d002007,115: RGB_R,GRMZM2G314171
Zm00001d002012,65: rn,mkaku42
Zm00001d002021,44: IKAW,umc2536
Zm00001d002024,44: IKAW,pco116681
Zm00001d002033,65: IKAW,-
Zm00001d002034,65: IKAW,-
Zm00001d002036,73: RGB_R/ints,-
Zm00001d002043,15: RGB_R; 37: IKAW; 51: rn/IKAW,-
Zm00001d002053,37: CIVE/COM/GRVI/MGRVI/rn/GreenCoverage/NDI/GLI2/ExR,cl34175_1
Zm00001d002068,51: ExGR/NDI/ExR/GRVI; 88: rn,cl5953_1
Zm00001d002072,88: rn,-
Zm00001d002080,10: GreenCoverage,-
Zm00001d002082,15: ints/RGB_R,si486073d01
Zm00001d002086,94: rn,ubp7
Zm00001d002089,51: ExGR; 80: ExGR/GLI2/NDI/ExR/GRVI/MGRVI,pco071732a
Zm00001d002090,26: IKAW; 65: IKAW,LOC103645856
Zm00001d002091,101: ExG/veg/GLI/gn; 88: rn/GLI2,GRMZM2G071119
Zm00001d002095,88: ExR/GRVI/ExGR/GLI2/MGRVI/NDI,AY109603
Zm00001d002097,88: ExR/GRVI/RGB_R/GLI2/MGRVI/NDI,-
Zm00001d002099,26: IKAW; 88: RGB_R/GLI2,cngc4
Zm00001d002103,12: veg; 88: GLI2; 94: ints,-
Zm00001d002119,88: ints/RGB_R/GreenCoverage,mrpa23
Zm00001d002124,88: ints/RGB_R; 94: ints,pme9
Zm00001d002126,15: ints; 88: ExR/GRVI/MGRVI/NDI,pco144444
Zm00001d002129,80: CIVE/COM,BE640649
Zm00001d002130,44: RGBVI/ExG/gn/GLI,-
Zm00001d002133,88: rn/GLI2,-
Zm00001d002141,108: gn/GLI/veg/ExG/RGBVI; 115: CIVE/GreenCoverage/ExG/GLI/COM/RGBVI/gn/veg,cl16508_1a
Zm00001d002143,51: ExGR/veg/GLI/gn/ExG/RGBVI; 73: ExGR,bzip27
Zm00001d002168,65: RGB_R/ints,IDP5979
Zm00001d002178,88: RGB_R,LOC103645890
Zm00001d002184,65: rn; 88: GLI2,pza03747
Zm00001d002188,12: CIVE/gn/ExG/GLI/COM; 80: ExGR,-
Zm00001d002212,15: ints; 24: IKAW,-
Zm00001d002213,115: ints/RGB_R,-
Zm00001d002217,44: RGBVI/ExG/gn; 88: ExGR,-
Zm00001d002263,115: GLI2,-
Zm00001d002275,88: ints,mrpa5
Zm00001d002277,65: ExR/MGRVI/GLI2/NDI/rn/GRVI; 88: ExR/GRVI/MGRVI/NDI,bag3
Zm00001d002282,10: ints/RGB_R; 15: ints/RGB_R,flr8
Zm00001d002283,17: RGB_R,Zm00001d002283
Zm00001d002287,15: RGB_R,Zm00001eb070510
Zm00001d002288,15: RGB_R,bhlh148
Zm00001d002299,51: IKAW,-
Zm00001d002302,12: ints,saur16
Zm00001d002312,17: RGB_R,IDP7857
Zm00001d002326,24: ints; 65: veg/RGBVI/ExG/ExGR/GLI/gn,aaa1
Zm00001d002330,80: GLI2/NDI/ExR/GRVI/MGRVI,met5
Zm00001d002332,10: gn/ExG/GLI; 19: CIVE/GRVI/MGRVI/NDI/ExG/GLI/gn/veg/ExGR/COM/ExR; 24: CIVE/gn/COM/RGBVI/ExG/GLI,mads9/LOC100194355
Zm00001d002334,80: ExGR/NDI/ExR/GRVI/MGRVI,-
Zm00001d002338,24: CIVE/gn/COM/RGBVI/ints/ExG/GLI,-
Zm00001d002339,37: RGB_R/ints,uaz251b(rpS11)
Zm00001d002342,19: CIVE/RGBVI/ExG/GLI/gn/veg/COM,pgl107
Zm00001d002346,26: IKAW,cad1
Zm00001d002366,80: rn,pco135861(187)
Zm00001d002367,115: ExG/GLI/gn/veg,-
Zm00001d002369,115: GreenCoverage; 37: RGB_R/ints; 51: ints/RGB_R,prh47
Zm00001d002377,101: CIVE/ExG/veg/GLI/gn/COM/RGBVI; 108: GreenCoverage/RGBVI; 115: CIVE/GreenCoverage/COM/RGBVI; 80: GLI2/NDI/ExR/GRVI/MGRVI; 88: ExR/GRVI/ExGR/GLI2/MGRVI/NDI; 94: veg,pco060261p
Zm00001d002378,94: CIVE/COM,nc3
Zm00001d002388,15: GreenCoverage,-
Zm00001d002395,80: GLI2/NDI/ExR/GRVI/MGRVI,pco101521
Zm00001d002396,80: NDI/ExR/GRVI/MGRVI,GRMZM2G140328
Zm00001d002406,44: ints,-
Zm00001d002415,88: CIVE/COM,-
Zm00001d002416,101: GreenCoverage; 80: veg/RGBVI/ExG/GLI/gn,-
Zm00001d002420,17: IKAW/MGRVI/ExR/GLI2/NDI/rn/GRVI/ExGR; 24: IKAW; 37: ints; 44: CIVE/ints/COM; 51: CIVE/COM/GreenCoverage; 73: NDI/rn/GRVI/MGRVI/ExGR/ExR/GLI2; 80: ints; 94: ExGR/MGRVI/ExR/GRVI/NDI,-
Zm00001d002437,65: rn; 88: ExR/GRVI/GLI2/MGRVI/NDI,IDP4139
Zm00001d002458,44: ints/RGB_R; 51: ints/RGB_R,IDP4006
Zm00001d002462,10: RGB_R; 19: ints; 65: RGB_R/ints; 88: ints,-
Zm00001d002467,80: ints,-
Zm00001d002489,101: CIVE/ExG/veg/GLI/gn/COM/RGBVI; 12: GreenCoverage; 80: NDI/ExR/GRVI/MGRVI,platz5
Zm00001d002490,88: ints,cp33b
Zm00001d002494,94: ints/RGB_R,-
Zm00001d002497,101: IKAW; 12: gn/ExG/GLI/RGBVI,-
Zm00001d002499,101: CIVE/ExG/veg/GLI/gn/COM/RGBVI; 108: CIVE/gn/COM/GLI/veg/GreenCoverage/ExG/RGBVI; 115: CIVE/GreenCoverage/ExG/GLI/COM/RGBVI/gn/veg,csu425(gct)
Zm00001d002501,101: veg; 108: CIVE/gn/COM/veg/GreenCoverage/ExG; 115: CIVE/GreenCoverage/ExG/GLI/COM/RGBVI/gn/ExGR/veg; 94: ints,dnaJ19
Zm00001d002503,115: CIVE/ExG/GLI/COM/gn/veg,mrpa14
Zm00001d002504,12: RGBVI,-
Zm00001d002506,12: ints; 73: RGB_R/ints,-
Zm00001d002510,94: ints,cl68101_1
Zm00001d002511,19: ints,-
Zm00001d002534,15: ints,pat7
Zm00001d002554,17: MGRVI/ExR/NDI,-
Zm00001d002562,108: gn/ExGR/ExR/MGRVI/GLI/veg/GLI2/GRVI/ExG/NDI; 115: CIVE/GreenCoverage/ExR/ExG/GLI/NDI/GLI2/COM/gn/GRVI/MGRVI/ExGR/veg,abi12
Zm00001d002564,88: IKAW,GRMZM2G050234
Zm00001d002592,80: ExGR/NDI/ExR/GRVI/MGRVI,acs2
Zm00001d002598,65: veg/RGBVI/ExG/GLI/gn; 88: gn/RGBVI/ExG/veg/GLI,pco125270a
Zm00001d002602,115: CIVE/GreenCoverage/ExG/GLI/COM/gn/veg; 15: NDI/GRVI/ExGR/MGRVI,dps2
Zm00001d002614,24: IKAW,spx8
